Modelo,RMSE,MAE,MAPE
Redes Neurais,"44.046.001,76","38.849.244,53","27,56"
ARIMA,"21.254.678,71","17.582.178,08","13,46"
Holt-Winters,"19.557.453,87","15.464.901,58","11,32"
