Modelo,RMSE,MAE,MAPE
Holt-Winters,"947.433.746,51","655.516.852,18","4,64"
ARIMA,"969.930.350,91","779.787.026,79","5,69"
Redes Neurais,"1.652.403.205,31","1.299.663.142,03","9,31"
