Modelo,RMSE,MAE,MAPE
Holt-Winters,"17.035.854,16","14.860.876,33","17,96"
ARIMA,"17.107.887,33","14.288.193,89","16,80"
Redes Neurais,"18.842.405,96","13.336.378,37","14,44"
