Modelo,RMSE,MAE,MAPE
Redes Neurais,"339.763.745,71","273.970.481,44","7,46"
ARIMA,"335.853.205,70","263.622.428,29","7,68"
Holt-Winters,"312.416.235,63","270.023.409,00","7,74"
