Modelo,RMSE,MAE,MAPE
Holt-Winters,"4.467.318,16","3.386.213,46","23,40"
ARIMA,"4.629.053,72","3.398.836,39","22,83"
Redes Neurais,"5.063.729,89","3.786.345,10","21,78"
