Modelo,RMSE,MAE,MAPE
Holt-Winters,"83.374.530,83","74.892.437,02","4,37"
ARIMA,"97.340.815,59","76.430.850,95","4,24"
Redes Neurais,"157.098.227,59","116.122.664,90","6,63"
