Modelo,RMSE,MAE,MAPE
Holt-Winters,"133.248.853,23","94.742.481,05","6,21"
ARIMA,"169.990.115,63","139.502.411,30","9,51"
Redes Neurais,"252.359.947,02","187.828.830,62","11,55"
