Modelo,RMSE,MAE,MAPE
Holt-Winters,"397.132.862,76","205.684.522,30","8,94"
ARIMA,"431.687.298,21","231.930.845,68","10,03"
Redes Neurais,"464.295.361,42","259.389.839,09","11,81"
