Mês,Valores_Previstos
2025-09,"62.900.463,27"
2025-10,"57.116.924,07"
2025-11,"67.129.717,14"
2025-12,"127.918.182,49"
2026-01,"50.667.788,44"
2026-02,"67.429.646,96"
2026-03,"69.380.722,17"
2026-04,"67.182.468,70"
2026-05,"67.629.665,94"
2026-06,"68.203.675,42"
2026-07,"69.335.853,13"
2026-08,"73.222.998,47"
