Modelo,RMSE,MAE,MAPE
ARIMA,"26.244.390,10","22.411.797,95","17,06"
Holt-Winters,"34.896.382,25","28.680.328,76","27,09"
Redes Neurais,"77.274.084,74","66.683.092,35","50,20"
