Modelo,RMSE,MAE,MAPE
ARIMA,"47.991.810,27","39.551.311,64","2,75"
Holt-Winters,"54.042.099,70","42.336.339,62","2,95"
Redes Neurais,"75.396.895,66","63.189.098,39","4,26"
