Modelo,RMSE,MAE,MAPE
Redes Neurais,"224.715.421,58","190.845.648,54","10,75"
ARIMA,"106.848.721,54","96.128.795,48","5,75"
Holt-Winters,"100.515.765,60","86.905.770,49","5,23"
