Modelo,RMSE,MAE,MAPE
ARIMA,"167.654.626,05","137.424.275,72","2,25"
Holt-Winters,"283.915.282,47","241.716.009,57","3,91"
Redes Neurais,"294.490.908,15","252.912.030,21","4,08"
