Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),174358209.63411486,"174.358.209,63"
MAE (Mean Absolute Error),144251107.3970644,"144.251.107,40"
MAPE (Mean Absolute % Error),10.727339547823412,"10,73"
