Modelo,RMSE,MAE,MAPE
Redes Neurais,"1.319.092,71","1.167.188,11","30,84"
Holt-Winters,"1.078.809,51","869.808,81","26,75"
ARIMA,"634.080,70","556.786,44","16,45"
