Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"196.906.531,74","196.619.635,83","177.918.986,67"
2025-10,"209.778.046,76","205.513.188,72","197.769.573,04"
2025-11,"250.759.146,91","247.922.418,73","260.463.593,20"
2025-12,"267.962.735,04","269.892.493,29","273.712.126,86"
2026-01,"257.981.000,32","263.686.355,42","275.528.640,02"
2026-02,"325.163.799,87","343.881.653,21","286.297.906,73"
2026-03,"218.643.972,39","239.213.074,23","264.897.255,17"
2026-04,"226.621.089,28","244.926.058,55","268.419.115,87"
2026-05,"264.549.876,38","291.399.847,15","280.097.995,48"
2026-06,"261.181.379,31","300.806.000,79","281.261.184,55"
2026-07,"180.264.485,77","208.265.826,41","236.823.729,36"
2026-08,"228.562.459,99","256.665.745,54","266.743.820,28"
