Modelo,RMSE,MAE,MAPE
ARIMA,"21.340.618,13","15.006.093,29","12,32"
Holt-Winters,"26.927.954,35","17.958.194,99","15,02"
Redes Neurais,"132.616.986,11","125.444.471,61","131,80"
