Modelo,RMSE,MAE,MAPE
Redes Neurais,"20.345.432,60","18.212.175,74","24,73"
Holt-Winters,"13.923.863,34","12.464.923,13","16,53"
ARIMA,"13.888.726,95","11.342.947,96","13,84"
