Modelo,RMSE,MAE,MAPE
Redes Neurais,"111.489.462,46","87.594.721,92","16,79"
Holt-Winters,"39.753.786,24","32.421.092,60","6,77"
ARIMA,"31.523.765,49","26.615.477,04","5,85"
