Mês,Valores_Previstos
2025-09,"118.371.655,46"
2025-10,"164.924.746,59"
2025-11,"33.860.508,76"
2025-12,"31.642.072,57"
2026-01,"31.937.227,97"
2026-02,"31.602.974,60"
2026-03,"31.193.271,48"
2026-04,"30.238.533,04"
2026-05,"28.806.840,95"
2026-06,"28.739.730,82"
2026-07,"30.294.495,59"
2026-08,"33.221.148,61"
