Modelo,RMSE,MAE,MAPE
Redes Neurais,"1.227.128.774,75","758.892.458,19","8,55"
ARIMA,"573.435.966,88","436.550.066,21","5,25"
Holt-Winters,"540.706.115,32","423.342.690,20","5,14"
