Mês,Valores_Previstos
2025-09,"3.772.112.228,85"
2025-10,"3.792.698.201,85"
2025-11,"3.813.839.046,74"
2025-12,"3.901.786.790,11"
2026-01,"4.053.021.302,72"
2026-02,"3.823.652.788,43"
2026-03,"3.816.706.214,31"
2026-04,"3.934.523.220,12"
2026-05,"3.816.140.858,39"
2026-06,"3.805.189.834,67"
2026-07,"3.842.287.499,16"
2026-08,"3.896.766.238,24"
