Modelo,RMSE,MAE,MAPE
Redes Neurais,"98.844.530,32","74.516.031,28","4,02"
Holt-Winters,"101.770.228,59","86.613.082,75","4,88"
ARIMA,"105.521.010,74","89.085.884,16","5,04"
