Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),95668652.37154724,"95.668.652,37"
MAE (Mean Absolute Error),74927458.2066086,"74.927.458,21"
MAPE (Mean Absolute % Error),15.15972526483392,"15,16"
