Modelo,RMSE,MAE,MAPE
Redes Neurais,"669.808.652,11","555.709.715,98","10,47"
ARIMA,"342.269.033,10","295.531.064,79","5,80"
Holt-Winters,"306.262.139,97","276.675.048,82","5,55"
