Modelo,RMSE,MAE,MAPE
Redes Neurais,"4.251.817,23","3.253.457,33","11,51"
ARIMA,"3.726.815,88","2.801.885,41","10,01"
Holt-Winters,"2.938.088,45","2.289.679,59","8,74"
