Modelo,RMSE,MAE,MAPE
Redes Neurais,"34.604.781,97","21.880.952,20","19,92"
ARIMA,"35.088.265,18","23.405.183,04","22,13"
Holt-Winters,"36.473.706,07","22.835.458,94","22,45"
