Modelo,RMSE,MAE,MAPE
Redes Neurais,"7.093.335,95","5.817.518,23","12,35"
ARIMA,"5.486.092,41","4.579.033,44","12,84"
Holt-Winters,"5.011.011,59","4.348.058,96","11,68"
