Modelo,RMSE,MAE,MAPE
ARIMA,"85.970.521,36","63.414.294,47","10,34"
Holt-Winters,"108.189.351,69","76.991.530,22","12,83"
Redes Neurais,"147.491.274,63","92.190.183,86","12,47"
