Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),193160713.6789672,"193.160.713,68"
MAE (Mean Absolute Error),157212131.17313686,"157.212.131,17"
MAPE (Mean Absolute % Error),8.861713329358228,"8,86"
