Mês,Valores_Previstos
2025-09,"3.811.881.182,42"
2025-10,"3.811.273.888,13"
2025-11,"3.809.580.586,01"
2025-12,"3.808.111.414,00"
2026-01,"3.808.655.868,07"
2026-02,"3.810.249.592,62"
2026-03,"3.811.286.617,30"
2026-04,"3.809.396.576,97"
2026-05,"3.807.613.687,26"
2026-06,"3.807.195.397,01"
2026-07,"3.808.083.860,98"
2026-08,"3.807.756.769,60"
