Mês,Valores_Previstos
2025-09,"10.615.491.541,46"
2025-10,"10.622.368.192,48"
2025-11,"10.623.134.990,36"
2025-12,"10.617.797.669,35"
2026-01,"10.618.922.221,29"
2026-02,"10.619.424.287,54"
2026-03,"10.611.622.190,80"
2026-04,"10.612.328.460,39"
2026-05,"10.616.717.398,64"
2026-06,"10.610.648.322,45"
2026-07,"10.607.741.371,62"
2026-08,"10.615.083.771,92"
