Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),1307244827.2567928,"1.307.244.827,26"
MAE (Mean Absolute Error),776256349.6886559,"776.256.349,69"
MAPE (Mean Absolute % Error),50.74861021454527,"50,75"
