Modelo,RMSE,MAE,MAPE
Holt-Winters,"379.960.723,55","187.844.111,46","9,97"
ARIMA,"417.258.803,28","218.210.444,29","11,64"
Redes Neurais,"440.123.591,66","239.782.398,70","13,33"
