Modelo,RMSE,MAE,MAPE
ARIMA,"40.287.894,37","36.217.161,01","4,99"
Holt-Winters,"49.100.384,00","39.940.389,43","5,35"
Redes Neurais,"118.526.224,79","91.396.430,45","11,20"
