Modelo,RMSE,MAE,MAPE
Redes Neurais,"187.720.424,17","145.759.464,04","12,09"
ARIMA,"86.988.904,18","70.374.933,76","6,01"
Holt-Winters,"75.802.092,68","61.224.224,94","5,33"
