Modelo,RMSE,MAE,MAPE
Holt-Winters,"183.659.474,10","159.153.343,65","3,80"
Redes Neurais,"167.130.703,15","142.866.858,33","3,44"
ARIMA,"120.207.517,80","85.978.045,44","2,07"
