Modelo,RMSE,MAE,MAPE
ARIMA,"458.417.522,31","388.845.040,78","7,31"
Redes Neurais,"590.724.698,46","465.527.165,60","8,13"
Holt-Winters,"636.816.359,46","584.422.110,94","11,18"
