Modelo,RMSE,MAE,MAPE
ARIMA,"30.648.591,97","22.903.219,18","3,44"
Holt-Winters,"46.986.457,54","36.025.726,92","5,51"
Redes Neurais,"109.984.492,70","86.211.376,91","13,23"
