Modelo,RMSE,MAE,MAPE
ARIMA,"1.341.942,78","901.269,66","24,47"
Holt-Winters,"1.726.880,33","1.670.821,11","55,98"
Redes Neurais,"1.833.224,64","1.256.364,21","30,52"
