Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"4.007.553,26","3.665.281,21","2.425.629,81"
2025-10,"4.095.056,68","3.569.222,77","2.424.969,61"
2025-11,"6.267.582,90","3.569.222,77","2.424.519,12"
2025-12,"5.368.734,04","3.569.222,77","2.423.827,33"
2026-01,"4.281.989,41","3.569.222,77","2.423.273,89"
2026-02,"4.040.775,47","3.569.222,77","2.423.026,58"
2026-03,"5.265.695,70","3.569.222,77","2.422.850,09"
2026-04,"4.035.755,86","3.569.222,77","2.422.742,24"
2026-05,"4.037.903,92","3.569.222,77","2.422.572,28"
2026-06,"3.889.664,27","3.569.222,77","2.422.243,82"
2026-07,"3.777.042,83","3.569.222,77","2.421.730,14"
2026-08,"4.604.985,53","3.569.222,77","2.421.664,23"
