Mês,Valores_Previstos
2025-09,"1.451.703.001,00"
2025-10,"1.309.956.195,13"
2025-11,"1.373.134.710,47"
2025-12,"1.323.922.250,57"
2026-01,"1.358.234.121,41"
2026-02,"1.291.906.258,55"
2026-03,"1.308.663.360,74"
2026-04,"1.327.189.257,51"
2026-05,"1.310.147.327,65"
2026-06,"1.418.834.942,00"
2026-07,"1.421.280.175,59"
2026-08,"1.431.218.287,91"
