Modelo,RMSE,MAE,MAPE
Redes Neurais,"131.629.873,98","102.319.317,50","16,33"
Holt-Winters,"99.568.832,06","73.475.563,78","11,16"
ARIMA,"95.733.434,18","66.800.003,85","10,10"
