Modelo,RMSE,MAE,MAPE
Redes Neurais,"97.342.530,90","79.393.827,77","4,41"
ARIMA,"72.582.352,76","66.513.827,06","3,83"
Holt-Winters,"71.902.016,94","60.600.353,71","3,46"
