Modelo,RMSE,MAE,MAPE
Holt-Winters,"42.856.449,03","28.600.869,96","9,30"
ARIMA,"46.850.529,28","30.135.660,66","9,67"
Redes Neurais,"71.794.360,71","43.573.620,13","13,72"
