Modelo,RMSE,MAE,MAPE
Holt-Winters,"105.169.558,42","65.768.491,07","19,87"
ARIMA,"113.552.737,56","72.875.443,27","22,24"
Redes Neurais,"223.709.430,25","172.884.278,56","67,45"
