Modelo,RMSE,MAE,MAPE
Redes Neurais,"454.222.214,85","377.878.888,03","12,10"
Holt-Winters,"459.182.032,71","371.953.290,97","13,28"
ARIMA,"476.030.585,82","371.318.180,87","13,37"
