Modelo,RMSE,MAE,MAPE
Holt-Winters,"971.585.446,37","727.609.124,19","8,10"
ARIMA,"1.155.973.530,81","786.781.380,36","8,46"
Redes Neurais,"1.846.662.219,08","1.308.368.639,29","13,66"
