Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),17410755.587247062,"17.410.755,59"
MAE (Mean Absolute Error),13728246.18404313,"13.728.246,18"
MAPE (Mean Absolute % Error),14.826473038662858,"14,83"
