Modelo,RMSE,MAE,MAPE
Holt-Winters,"4.215.449,83","3.197.451,22","58,02"
ARIMA,"4.336.732,58","3.173.237,01","53,03"
Redes Neurais,"4.919.979,74","3.519.887,03","62,34"
