Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),56001780.999453284,"56.001.781,00"
MAE (Mean Absolute Error),46244925.39525959,"46.244.925,40"
MAPE (Mean Absolute % Error),10.745603024632588,"10,75"
