Mês,Valores_Previstos
2025-09,"1.051.039.973,52"
2025-10,"1.055.429.461,26"
2025-11,"1.058.908.392,92"
2025-12,"1.059.424.442,78"
2026-01,"1.057.005.978,04"
2026-02,"1.053.347.279,37"
2026-03,"1.056.547.712,47"
2026-04,"1.057.580.957,58"
2026-05,"1.054.676.776,39"
2026-06,"1.056.995.402,39"
2026-07,"1.058.490.711,90"
2026-08,"1.058.394.423,82"
