Modelo,RMSE,MAE,MAPE
Holt-Winters,"67.832.562,28","37.756.942,65","9,28"
ARIMA,"76.883.107,56","49.471.870,57","12,76"
Redes Neurais,"78.862.814,28","42.025.844,84","10,12"
