Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),29955427.587202042,"29.955.427,59"
MAE (Mean Absolute Error),22223085.49902101,"22.223.085,50"
MAPE (Mean Absolute % Error),9.385332452450168,"9,39"
