Modelo,RMSE,MAE,MAPE
ARIMA,"9.573.113,08","7.175.740,06","8,05"
Holt-Winters,"14.154.279,19","9.648.490,91","11,09"
Redes Neurais,"22.729.710,72","18.789.251,33","18,15"
