Modelo,RMSE,MAE,MAPE
Holt-Winters,"57.867.666,58","56.044.980,21","85,44"
ARIMA,"60.292.408,82","58.627.363,32","89,72"
Redes Neurais,"64.209.195,22","62.610.382,37","96,22"
