Modelo,RMSE,MAE,MAPE
Holt-Winters,"776.738.442,89","772.214.220,30","88,84"
Redes Neurais,"826.888.996,88","823.157.700,49","94,79"
ARIMA,"838.555.238,35","834.879.099,26","96,15"
