Modelo,RMSE,MAE,MAPE
ARIMA,"2.522.479,94","1.720.909,91","11,99"
Redes Neurais,"3.559.322,79","2.527.252,44","20,93"
Holt-Winters,"3.768.685,69","2.201.001,79","14,35"
