Modelo,RMSE,MAE,MAPE
Holt-Winters,"465.601.900,89","343.819.429,78","3,66"
ARIMA,"597.470.156,54","455.667.977,02","4,85"
Redes Neurais,"1.022.249.938,60","893.508.912,64","9,55"
