Modelo,RMSE,MAE,MAPE
Redes Neurais,"21.506.193,53","16.127.139,16","11,29"
ARIMA,"28.838.308,19","22.055.552,15","14,36"
Holt-Winters,"30.404.973,38","23.707.384,61","15,42"
