Mês,Valores_Previstos
2025-09,"1.414.605,22"
2025-10,"1.412.502,13"
2025-11,"1.411.591,14"
2025-12,"1.410.759,97"
2026-01,"1.408.797,44"
2026-02,"1.407.376,29"
2026-03,"1.405.361,70"
2026-04,"1.403.853,79"
2026-05,"1.402.838,69"
2026-06,"1.401.445,30"
2026-07,"1.400.438,87"
2026-08,"1.398.464,19"
