Modelo,RMSE,MAE,MAPE
Holt-Winters,"338.762.283,76","262.289.261,44","4,73"
ARIMA,"362.860.426,95","269.471.854,09","4,83"
Redes Neurais,"717.244.598,46","481.673.765,64","8,36"
