Modelo,RMSE,MAE,MAPE
Holt-Winters,"75.986.342,46","57.459.578,18","8,43"
ARIMA,"78.783.242,10","64.161.127,56","9,22"
Redes Neurais,"173.108.193,02","137.823.234,69","16,73"
