Modelo,RMSE,MAE,MAPE
Holt-Winters,"32.679.798,21","19.711.024,42","9,45"
ARIMA,"34.367.065,93","21.954.688,30","10,87"
Redes Neurais,"54.403.951,84","36.742.277,48","17,56"
